Feature,Correlation,P-Value
Marital Status_Widowed,322.44913973637136,4.2406441774434473e-72
Age,0.07303717140904376,3.9604217244368434e-23
Employment Status_Unemployed,90.24296550428687,2.1063787412646845e-21
Marital Status_Married,57.68879653810059,3.0704669632105064e-14
Marital Status_Single,30.957113543965193,2.6379344468722782e-08
Number of Children,0.03717130419435562,4.753189564267004e-07
History of Substance Abuse,0.013554453159547604,0.06638358377536803
Chronic Medical Conditions,0.013281075109108045,0.07205112930825
Education Level,0.007431369035884684,0.3141859095094977
Smoking Status,,
Physical Activity Level,,
Income,,
Alcohol Consumption,,
Dietary Habits,,
Sleep Patterns,,
